"a","阿","[prefix in people's name]",3,8,519,"963F","standard"
"a di đà phật","阿彌陀佛","Amitābha (name of a celestial Buddha)",0,,
"a phiến","阿片","opium",0,,
"ai","埃","who; someone, somebody",2,10,126,"57C3","standard"
"ai ai","埃ㇴ","everybody, everyone",0,,
"ai nấy","埃乃","each and every, everyone, one and all",0,,4500
"an","安","safe; secure; peaceful",3,6,469,"5B89","standard"
"anh","英","England; english; [brave, hero; petal, flower]",4,9,25,"82F1","standard"
"anh","偀","elder brother",1,11,25,"5040","standard"
"anh chàng","偀払","man, guy, boy",0,,
"anh chị","偀姉","elder brother and elder sister",4,,1887
"anh chị em","偀姉㛪","brothers and sisters, siblings",0,,
"anh em","偀㛪","brothers; siblings",4,,1003
"anh họ","偀户","cousin",0,,
"anh minh","英明","sagely, wise, gifted, capable",0,,
"anh quốc","英國","United Kingdom of Great Britain and Northern Ireland, England (colloquial)",0,,
"ba","𠀧","three",2,7,127,"20027","standard"
"ba","爸","father",2,8,127,"7238","standard"
"ba má","爸媽","parents, father and mother",0,,
"ban","班","time, shift",2,10,336,"73ED","standard"
"ban ngày","班𣈜","during the day, in the daytime",0,,3892
"ban nãy","班迺","just a short time ago",0,,
"ban sáng","班𤎜","in the morning",0,,
"ban tối","班最","at night",0,,
"ban đầu","班頭","at first, initial, initially",4,,1449
"bang","邦","nation, country, state",3,7,500,"90A6","standard"
"bao","包","bag; to wrap, to bundle",3,5,819,"5305","standard"
"bao giấy","包紙","paper bag",0,,
"bao giờ","包𣇞","when; ever",3,,412
"bao lâu","包𥹰","how long?",0,,
"bao nhiêu","包饒","how much, how many",3,,718
"bao tay","包𢬣","glove",0,,
"bao thơ","包書","envelope",0,,
"bay","𠖤","to fly",3,18,442,"205A4","standard"
"biết","别","to know",1,5,73,"522B","standard"
"biết bao","别包","so much, so many",4,,1652
"biết mặt","别𩈘","to know (someone) by sight",0,,
"biết điều","别条","reasonable, judicious, sensible",0,,
"biết đâu","别兜","who knows, goodness knows",0,,3031
"biển","𣷷","ocean",2,11,364,"23DF7","standard"
"biển nhật bản","𣷷日本","sea of japan",0,,
"biển đen","𣷷黰","Black Sea",0,,
"biển đông","𣷷東","south china sea",0,,
"biệt","别","[separate, other]",1,5,2222,"522B","standard"
"buồn","𢞂","sad, melancholic",3,12,419,"22782","standard"
"buồn cười","𢞂唭","funny",0,,
"buồn lòng","𢞂𢚸","melancholic, heavy-hearted",0,,
"buồn ngủ","𢞂𥄬","tired, sleepy",0,,
"buồn tình","𢞂情","bored",0,,
"buổi","𣇜","time of day; time, period, duration; working shift",3,11,416,"231DC","standard"
"buổi sáng","𣇜𤎜","morning",4,,1928
"buổi tối","𣇜最","evening",0,,3072
"bà","妑","woman; Mrs.",1,11,62,"5A46","standard"
"bà con","妑𡥵","relative; relationship; neighbour",4,,1491
"bà ngoại","妑外","maternal grandmother",0,,
"bà nội","妑内","paternal grandmother",0,,
"bài","排","lecture",2,11,319,"6392","standard"
"bài báo","排報","article (in a newspaper)",4,,2315
"bài hát","排欱","song",4,,2051
"bài học","排学","lesson",4,,2009
"bài làm","排爫","task, exercise",0,,
"bài thơ","排書","poem",3,,781
"bàn","盘","table; to discuss",3,15,736,"76E4","standard"
"bàn","搬","[to transfer, to move]",3,13,736,"642C","standard"
"bàn chân","盘蹎","foot",0,,4317
"bàn cờ","盘碁","chessboard; chequered board",0,,
"bàn giao","搬交","to transfer, to hand over",0,,
"bàn giấy","盘紙","office, secretariat; desk, writing table",0,,
"bàn luận","盘論","to discuss",0,,
"bàn ra","盘𫥨","to dissuade (from doing something)",0,,
"bàn tay","盘𢬣","hand",4,,1170
"bàn ăn","盘咹","dinner table",0,,
"bác","伯","uncle; aunt",3,7,496,"4F2F","standard"
"bác","博","[extensive, comprehensive, wide, broad, rich; to gamble]",3,12,496,"535A","standard"
"bác gái","伯𡛔","one's father's elder sister-in-law",0,,
"bác học","博学","scholarly, learned, knowledgeable",0,,
"bác sĩ","博士","doctor, physician, general practitioner",3,,703
"bác vật","博物","engineer; erudition, scholarliness",0,,
"bán","𧸝","to sell",2,20,204,"27E1D","standard"
"bán","半","[half, semi-]",2,5,204,"534A","standard"
"bán chịu","𧸝𠹾","to sell on credit",0,,
"bán phụ âm","半輔音","semi-consonant",0,,
"bán âm","半音","semivowel",0,,
"bán đảo","半島","peninsula",0,,
"báo","報","to report, to tell; newspaper",2,12,251,"5831","standard"
"bây","悲","[this, that]",0,16,,"232BE","standard"
"bây giờ","悲𣇞","now, right now; nowadays",3,,444
"bây nhiêu","悲饒","that much, that many",0,,
"bé","𡮣","small, little, tiny",3,14,411,"21BA3","standard"
"bé con","𡮣𡥵","little child",0,,
"bên","边","side; edge",2,6,213,"8FB9","standard"
"bên ngoài","边外","outside, outer, exterior",4,,1250
"bên phải","边沛","on the right side, dexter",0,,
"bên trái","边賴","on the left side",0,,
"bình","評","[to criticize]",2,12,351,"8A55","standard"
"bình","平","equal, [flat, even, level; peaceful]",2,5,351,"5E73","standard"
"bình","瓶","vase, vessel, jar",2,11,351,"74F6","standard"
"bình an","平安","peace, security",0,,3461
"bình luận","評論","to comment on",4,,2441
"bình thuỷ","瓶水","thermos bottle",0,,
"bình thường","平常","normal, ordinary, usual; normally, usually",3,,919
"bò","𤙭","cow, ox, beef",4,11,1106,"2466D","standard"
"bóng","𤊡","lustrous, glossy, glittering, sparkling, radiant",3,12,528,"242A1","standard"
